GEOID20,parcels,sale.date_mean,sale.price.real_mean,year.built_mean,stories_mean,landval_mean,impval_mean,totval_mean,building.size.m2_mean,building.height.m_mean,lot.size.m2_mean,outdoor.m2_mean,year.built_sd,stories_sd,landval_sd,impval_sd,totval_sd,building.size.m2_sd,building.height.m_sd,lot.size.m2_sd,outdoor.m2_sd
320030058033,1,NA,NaN,1998,1,0,0,0,0,NA,364.2174144726992,364.2174144726992,NA,NA,NA,NA,NA,NA,NA,NA,NA
320030058034,16,2017-09-02,37005581.58685143,2001.3125,1.125,2455490.9375,2579555.125,5035121.3125,1870.2395749999998,NA,36636.72997118078,34959.48433993078,2.937544325906703,0.3415650255319866,1769485.788386915,1940638.559441913,3685800.353422428,2802.2052087888073,NA,26164.95263219597,25902.688079181942
320030058041,14,2017-06-24,30361435.044283338,2000.5,1.1428571428571428,2334084.9285714286,3964261.3571428573,6301383.857142857,4509.857042857143,NA,33976.28005989357,31441.652863465,5.5987635997739575,0.36313651960128146,2917505.1836155774,5261448.204124245,8179192.377269652,13719.503284973662,NA,42331.34173973674,40044.19222962342
320030058043,2,NA,NaN,1993,1,688100,1282220,1970329.5,92.43549999999999,NA,22925.461745624543,22833.026245624544,0,0,973120.3522689267,1813332.91394603,2786466.701243799,130.72353774473822,NA,23836.812478790023,23967.536016534763
320030058044,36,2013-09-13,25296289.553255633,1999.7222222222222,1.2222222222222223,906319.5555555555,1566937.0833333333,2473989.6666666665,2881.768322222222,NA,14244.947253468583,12395.097078005621,2.874629030586741,0.4846861199999799,1322163.3145806252,2333489.191727461,3604715.890930871,6824.833578867859,NA,19879.8637884338,17940.371921774517
320030058051,6,2020-12-01,50753082,2002.1666666666667,1,4525708,5685434,10211142,2462.63965,NA,67299.27840373993,64836.63875373993,0.408248290463863,0,0,0,0,1429.953810743411,NA,0,1429.953810743412
320030058052,14,2020-01-01,7708264.489701473,1999.4285714285713,1.0714285714285714,1243675,1335572.5,2579247.4285714286,1566.0153,NA,18884.38299883402,17488.023005976876,5.543038401930365,0.2672612419124244,885098.1363790641,1198511.8362186146,2038801.5397522412,2326.836978672698,NA,13620.264233131888,13054.284900913024
320030058053,15,2015-12-28,9347814.387927387,1991.3333333333333,1.0666666666666667,512363.73333333334,923112.8,1435500.2,947.8772799999999,NA,65637.37313233098,64775.56460566431,1.7182493859684491,0.2581988897471611,540867.2081566876,871757.159608782,1304022.1661745084,1201.929775144045,NA,137785.21755823423,137812.40536016878
320030058061,1,NA,NaN,1989,1,0,0,0,0,NA,4694.357464921474,4694.357464921474,NA,NA,NA,NA,NA,NA,NA,NA,NA
320030058062,2,NA,NaN,1989,1,0,0,0,0,NA,4694.357464921474,4694.357464921474,0,0,0,0,0,0,NA,0,0
320030058063,2,NA,NaN,1990.5,1,0,0,0,0,NA,2367.4130320084655,2367.4130320084655,2.1213203435596424,0,0,0,0,0,NA,3290.796375914148,3290.796375914148
320030058064,5,2018-11-01,48983734.22320883,1989.2,1.4,3404940,4502717.8,7911723.4,11721.471699999998,2.8041600000000004,49250.28521223828,43250.561672238284,0.44721359549995793,0.5477225575051661,1952231.8655195648,2650457.325644803,4599068.267583533,15699.166733218248,0.13631070390838707,28133.433872323887,25589.861460930628
320030058071,9,2012-01-25,1438630.9704150138,1991.888888888889,1.1111111111111112,1198000.888888889,2136704.3333333335,3335895.222222222,6296.803288888888,NA,17945.5759366409,14609.97046997423,3.2956199888808646,0.3333333333333333,2075271.0574290317,3925781.2788785114,6002957.312501309,17630.6580806081,NA,29232.28339253924,24406.71323399909
320030058073,3,NA,NaN,1989,1,3780,11826,15610.666666666666,27.467433333333332,NA,2549.521846031224,2522.0544126978903,0,0,6547.152052610356,20483.23285030954,27038.467806688554,47.5749900868443,NA,2033.1193017845765,2080.685081925333
320030058081,34,2008-02-16,1363356.3315451834,1999.2941176470588,1.1764705882352942,236546.76470588235,349094.5294117647,585655.1764705882,914.4146999999999,NA,3802.858142092701,3037.3812685632897,3.261617109281519,0.38695299497594743,211929.42823197262,271318.9291425214,458912.1366565665,1075.8654531209672,NA,3514.08019482868,2692.7487379646414
